"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050766","positive regulation of phagocytosis","14/508","66/15845",0.212121212121212,6.61626103555237,8.32096276980478,1.69966860390002e-08,2.30902248743206e-06,1.77355565370399e-06,"ABCA7/DOCK2/FCER1G/FCGR1A/FCGR2A/FCGR2B/GAS6/NCKAP1L/APOA1/PLA2G5/CCL2/C2/FCN3/CD36",14
"GO:0032635","interleukin-6 production","21/508","152/15845",0.138157894736842,4.30927527973477,7.46097811277633,1.71926313369264e-08,2.30902248743206e-06,1.77355565370399e-06,"AIF1/GAS6/NCKAP1L/HLA-B/IL6/ISL1/LEP/LPL/MBP/TLR7/TLR8/IL17D/SYK/TLR1/TLR4/TYROBP/AFAP1L2/HAVCR2/IL33/CD36/CD74",21
"GO:0032675","regulation of interleukin-6 production","21/508","152/15845",0.138157894736842,4.30927527973477,7.46097811277633,1.71926313369264e-08,2.30902248743206e-06,1.77355565370399e-06,"AIF1/GAS6/NCKAP1L/HLA-B/IL6/ISL1/LEP/LPL/MBP/TLR7/TLR8/IL17D/SYK/TLR1/TLR4/TYROBP/AFAP1L2/HAVCR2/IL33/CD36/CD74",21
"GO:0032611","interleukin-1 beta production","16/508","89/15845",0.179775280898876,5.6073608776431,7.93265034233829,2.00679707441337e-08,2.54117846680002e-06,1.95187420711364e-06,"CCR7/EGR1/APOA1/IFI16/IGF1/IL6/ISL1/LPL/TLR8/NLRP2/CCL3/TLR4/TYROBP/CASP1/CD33/CD36",16
"GO:0032651","regulation of interleukin-1 beta production","16/508","89/15845",0.179775280898876,5.6073608776431,7.93265034233829,2.00679707441337e-08,2.54117846680002e-06,1.95187420711364e-06,"CCR7/EGR1/APOA1/IFI16/IGF1/IL6/ISL1/LPL/TLR8/NLRP2/CCL3/TLR4/TYROBP/CASP1/CD33/CD36",16
"GO:0002697","regulation of immune effector process","36/508","398/15845",0.0904522613065327,2.82129149685435,6.69719565758925,2.15364148679015e-08,2.65137196373721e-06,2.03651361645595e-06,"FGL2/VSIG4/A2M/FCGR1A/FCGR2B/CADM1/NCKAP1L/HLA-A/HLA-B/HLA-DMB/HLA-DRA/HLA-F/APOA1/IL6/ITGAM/ITGB2/LEP/CALHM6/TLR7/PLA2G5/SPI1/SYK/TGFB3/TLR4/C4BPB/TYROBP/WAS/LAPTM5/HAVCR2/FCN3/TNFRSF14/IL33/CD28/CD86/CD36/CD74",36
"GO:0071706","tumor necrosis factor superfamily cytokine production","22/508","169/15845",0.130177514792899,4.06035968876671,7.27934431143336,2.37988457595312e-08,2.77569695805901e-06,2.13200740128322e-06,"CYBB/FCGR1A/FCGR2A/FCGR2B/LY96/GAS6/IGF1/IL6/ISL1/LEP/LPL/CCL3/SYK/TLR1/TLR4/TYROBP/HAVCR2/IL33/CD14/CD86/CD33/CD36",22
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","22/508","169/15845",0.130177514792899,4.06035968876671,7.27934431143336,2.37988457595312e-08,2.77569695805901e-06,2.13200740128322e-06,"CYBB/FCGR1A/FCGR2A/FCGR2B/LY96/GAS6/IGF1/IL6/ISL1/LEP/LPL/CCL3/SYK/TLR1/TLR4/TYROBP/HAVCR2/IL33/CD14/CD86/CD33/CD36",22
"GO:0097530","granulocyte migration","20/508","146/15845",0.136986301369863,4.27273217560134,7.23011097958125,4.3599205391895e-08,4.85123662022271e-06,3.72622535383818e-06,"CCR7/CMKLR1/EDN1/FCER1G/MCOLN2/NCKAP1L/CXCR2/ITGB2/PECAM1/TREM1/PPBP/RARRES2/S100A8/CCL2/CCL3/CCL8/CCL13/SYK/C3AR1/CD74",20
"GO:0071621","granulocyte chemotaxis","18/508","119/15845",0.151260504201681,4.71795804936148,7.40905629228668,4.37837240092303e-08,4.85123662022271e-06,3.72622535383818e-06,"CCR7/CMKLR1/EDN1/FCER1G/NCKAP1L/CXCR2/ITGB2/TREM1/PPBP/RARRES2/S100A8/CCL2/CCL3/CCL8/CCL13/SYK/C3AR1/CD74",18
"GO:0050764","regulation of phagocytosis","16/508","94/15845",0.170212765957447,5.30909700117273,7.62588401750127,4.50103424076432e-08,4.86550823294328e-06,3.73718735163846e-06,"ABCA7/DOCK2/FCER1G/FCGR1A/FCGR2A/FCGR2B/GAS6/HCK/NCKAP1L/APOA1/PLA2G5/CCL2/SYK/C2/FCN3/CD36",16
"GO:0042742","defense response to bacterium","29/508","288/15845",0.100694444444444,3.14075486657918,6.67258818627714,5.26785427041357e-08,5.55884050630308e-06,4.26973451391415e-06,"ADAMTS5/DEFA1/DEFA3/FCER1G/FCGR1A/STAB1/ANG/SLC9A9/HLA-A/IL6/LYZ/PLA2G2A/TREM1/PPBP/RARRES2/RNASE1/RNASE4/RNASE6/S100A8/SYK/TLR4/DEFA1B/H2BC8/CASP1/HAVCR2/TNFRSF14/IL33/CD4/CD36",29
"GO:0032640","tumor necrosis factor production","21/508","164/15845",0.128048780487805,3.99396245438832,7.01415664521967,6.62842301960399e-08,6.67662973247383e-06,5.12830623095677e-06,"CYBB/FCGR1A/FCGR2A/FCGR2B/LY96/GAS6/IGF1/IL6/ISL1/LEP/LPL/CCL3/SYK/TLR1/TLR4/TYROBP/HAVCR2/IL33/CD14/CD33/CD36",21
"GO:0032680","regulation of tumor necrosis factor production","21/508","164/15845",0.128048780487805,3.99396245438832,7.01415664521967,6.62842301960399e-08,6.67662973247383e-06,5.12830623095677e-06,"CYBB/FCGR1A/FCGR2A/FCGR2B/LY96/GAS6/IGF1/IL6/ISL1/LEP/LPL/CCL3/SYK/TLR1/TLR4/TYROBP/HAVCR2/IL33/CD14/CD33/CD36",21
"GO:0019882","antigen processing and presentation","17/508","110/15845",0.154545454545455,4.82041875447387,7.3175888027794,7.51169038668057e-08,7.39818039861517e-06,5.68252788550291e-06,"FGL2/CCR7/CTSS/FCER1G/FCGR1A/FCGR2B/RFTN1/HLA-A/HLA-B/HLA-DMB/HLA-DPA1/HLA-DRA/HLA-F/MARCHF1/PSMB8/WAS/CD74",17
"GO:0002263","cell activation involved in immune response","30/508","311/15845",0.0964630225080386,3.00877281818872,6.51123592112598,8.10511785623314e-08,7.67177910930793e-06,5.89267851973728e-06,"FGL2/SCN11A/DOCK11/DOCK2/GPR183/FCER1G/FCGR2B/MILR1/NCKAP1L/HLA-DMB/HLA-DRA/HLA-F/IL6/ITGAM/ITGB2/MFNG/TCIM/PTGDS/CCL3/SPI1/STAT4/SYK/TLR4/TYROBP/HAVCR2/IL33/CD28/CD86/ITM2A/CD74",30
"GO:0061900","glial cell activation","12/508","53/15845",0.226415094339623,7.06210072797504,8.04519508654807,8.34904733426152e-08,7.67177910930793e-06,5.89267851973728e-06,"AIF1/IL6/ITGAM/ITGB2/MAPT/CCL3/SNCA/TLR1/C1QA/TYROBP/IL33/ZEB2",12
"GO:1990868","response to chemokine","15/508","86/15845",0.174418604651163,5.44028108405054,7.51431549436845,8.48188574810669e-08,7.67177910930793e-06,5.89267851973728e-06,"SH2B3/CCR7/CMKLR1/EDN1/FOXC1/ACKR1/CXCR2/LOX/CCL3L3/CCL2/CCL3/CCL8/CCL13/SLIT3/CCRL2",15
"GO:1990869","cellular response to chemokine","15/508","86/15845",0.174418604651163,5.44028108405054,7.51431549436845,8.48188574810669e-08,7.67177910930793e-06,5.89267851973728e-06,"SH2B3/CCR7/CMKLR1/EDN1/FOXC1/ACKR1/CXCR2/LOX/CCL3L3/CCL2/CCL3/CCL8/CCL13/SLIT3/CCRL2",15
"GO:0032755","positive regulation of interleukin-6 production","16/508","99/15845",0.161616161616162,5.04096078899228,7.34025545229589,9.56509285358889e-08,8.4784983054212e-06,6.51231795547505e-06,"AIF1/IL6/ISL1/LEP/LPL/MBP/TLR7/TLR8/IL17D/SYK/TLR1/TLR4/TYROBP/IL33/CD36/CD74",16
"GO:0032102","negative regulation of response to external stimulus","34/508","390/15845",0.0871794871794872,2.7192105794468,6.25634858090005,1.30551611192898e-07,1.13451909962142e-05,8.71421900098728e-06,"SH2B3/FGL2/VSIG4/CLDN3/CLEC12A/ADAMTS18/EDN1/AIF1/A2M/FCGR2B/GPER1/HCK/HLA-A/HLA-B/HLA-F/APOA1/IFI16/IGF1/APOE/ISL1/MMP12/NBL1/PTPRO/WFDC1/CCL2/SPP1/SYK/C5/VTN/PLA2G10/HAVCR2/WNT3A/IL33/KLF4",34
"GO:0070098","chemokine-mediated signaling pathway","14/508","77/15845",0.181818181818182,5.67108088761632,7.47770811797706,1.3345894568505e-07,1.13748086014642e-05,8.73696822561641e-06,"SH2B3/CCR7/CMKLR1/EDN1/FOXC1/ACKR1/CXCR2/CCL3L3/CCL2/CCL3/CCL8/CCL13/SLIT3/CCRL2",14
"GO:0007159","leukocyte cell-cell adhesion","35/508","412/15845",0.0849514563106796,2.64971619142267,6.1748545339322,1.59843292828698e-07,1.33665183739017e-05,1.02667966039327e-05,"TNFSF13B/FGL2/VSIG4/CCR7/AIF1/GCNT1/NCKAP1L/HLA-A/HLA-DMB/HLA-DPA1/HLA-DRA/IGF1/IL6/IDO1/ITGB2/LEP/KITLG/PECAM1/PLA2G2A/PLA2G5/JAM2/S100A8/CCL2/SYK/LAPTM5/FERMT3/HAVCR2/PDE5A/TNFRSF14/CD4/KLF4/CD28/CD86/CD44/CD74",35
"GO:0032732","positive regulation of interleukin-1 production","13/508","67/15845",0.194029850746269,6.05197438006816,7.54165444174661,1.68999922633102e-07,1.3870512168702e-05,1.06539132513733e-05,"EGR1/IFI16/IL6/ISL1/LPL/TLR8/NLRP2/CCL3/TLR4/TYROBP/CASP1/HAVCR2/CD36",13
"GO:0001516","prostaglandin biosynthetic process","9/508","29/15845",0.310344827586207,9.67994841162096,8.51455350708438,1.88424097204238e-07,1.49124214073068e-05,1.14542016984681e-05,"PRXL2B/EDN1/PLA2G4F/HPGDS/PTGDS/TBXAS1/PLA2G10/AKR1C3/CD74",9
"GO:0046457","prostanoid biosynthetic process","9/508","29/15845",0.310344827586207,9.67994841162096,8.51455350708438,1.88424097204238e-07,1.49124214073068e-05,1.14542016984681e-05,"PRXL2B/EDN1/PLA2G4F/HPGDS/PTGDS/TBXAS1/PLA2G10/AKR1C3/CD74",9
"GO:0032731","positive regulation of interleukin-1 beta production","12/508","57/15845",0.210526315789474,6.56651471197679,7.66216137272522,1.96966932222895e-07,1.52602167481538e-05,1.17213426191168e-05,"EGR1/IFI16/IL6/ISL1/LPL/TLR8/NLRP2/CCL3/TLR4/TYROBP/CASP1/CD36",12
"GO:0001774","microglial cell activation","11/508","47/15845",0.234042553191489,7.3000083766125,7.87196338422723,2.0214753997024e-07,1.52602167481538e-05,1.17213426191168e-05,"AIF1/IL6/ITGAM/ITGB2/MAPT/CCL3/SNCA/TLR1/C1QA/TYROBP/IL33",11
"GO:0050920","regulation of chemotaxis","23/508","206/15845",0.111650485436893,3.48248413729837,6.5269406957243,2.03148192270097e-07,1.52602167481538e-05,1.17213426191168e-05,"CCR7/CMKLR1/GPR183/LPAR1/EDN1/AIF1/F3/GAS6/NCKAP1L/IL6/CXCR2/NBL1/PDGFRB/PTPRO/RARRES2/CCL2/CCL3/C3AR1/C5/VEGFC/PLA2G7/WNT3A/CD74",23
"GO:0002366","leukocyte activation involved in immune response","29/508","307/15845",0.0944625407166124,2.94637590089512,6.26747214014787,2.09186282581893e-07,1.54518934067158e-05,1.18685690854358e-05,"FGL2/SCN11A/DOCK11/DOCK2/GPR183/FCER1G/FCGR2B/MILR1/NCKAP1L/HLA-DMB/HLA-DRA/HLA-F/IL6/ITGAM/ITGB2/MFNG/PTGDS/CCL3/SPI1/STAT4/SYK/TLR4/TYROBP/HAVCR2/IL33/CD28/CD86/ITM2A/CD74",29
