"gene","n_datasets_with_gene","non_imputed_First.trimester","non_imputed_Second.trimester","in_both_groups"
"152559",5,86,15,TRUE
"152831",5,86,15,TRUE
"153364",4,50,15,TRUE
"1534",5,86,15,TRUE
"153443",5,86,15,TRUE
"153642",5,66,15,TRUE
"153733",5,66,15,TRUE
"154",5,66,15,TRUE
"154091",5,86,15,TRUE
"154141",4,50,15,TRUE
"154313",4,50,15,TRUE
"1544",5,86,15,TRUE
"154467",5,86,15,TRUE
"154661",5,86,15,TRUE
"154791",5,86,15,TRUE
"155",4,50,15,TRUE
"155038",4,50,15,TRUE
"155368",5,86,15,TRUE
"155382",4,50,15,TRUE
"155465",4,50,15,TRUE
"1565",2,58,7,TRUE
"157285",5,86,15,TRUE
"157657",4,50,15,TRUE
"157695",5,86,15,TRUE
"157777",4,50,15,TRUE
"157869",5,86,15,TRUE
"158219",5,86,15,TRUE
"158326",5,86,15,TRUE
"158358",5,86,15,TRUE
"158376",4,50,15,TRUE
"158399",4,50,15,TRUE
"158401",4,50,15,TRUE
"158427",5,86,15,TRUE
"158584",5,86,15,TRUE
"158586",4,50,15,TRUE
"158880",5,86,15,TRUE
"1591",5,66,15,TRUE
"1593",5,66,15,TRUE
"159371",4,50,15,TRUE
"159686",4,50,15,TRUE
"159963",4,50,15,TRUE
"160065",5,66,15,TRUE
"160140",5,86,15,TRUE
"1602",5,66,15,TRUE
"160364",4,50,15,TRUE
"160518",5,86,15,TRUE
"160728",4,50,15,TRUE
"1609",5,86,15,TRUE
"161",5,86,15,TRUE
"161145",4,50,15,TRUE
"161291",5,86,15,TRUE
"161394",5,66,15,TRUE
"161742",5,66,15,TRUE
"161823",5,86,15,TRUE
"161835",4,50,15,TRUE
"162073",5,86,15,TRUE
"162239",5,86,15,TRUE
"162387",5,86,15,TRUE
"162394",5,86,15,TRUE
"162427",5,86,15,TRUE
"162466",5,86,15,TRUE
"162494",5,86,15,TRUE
"162681",5,86,15,TRUE
"162979",4,50,15,TRUE
"163059",2,78,7,TRUE
"163183",5,86,15,TRUE
"163259",4,50,15,TRUE
"163486",5,86,15,TRUE
"163786",5,86,15,TRUE
"163859",5,86,15,TRUE
"1641",5,66,15,TRUE
"164312",5,66,15,TRUE
"1646",4,50,15,TRUE
"164656",5,86,15,TRUE
"164832",5,66,15,TRUE
"165055",4,50,15,TRUE
"165140",5,86,15,TRUE
"1657",5,86,15,TRUE
"165829",5,86,15,TRUE
"166012",5,86,15,TRUE
"166336",5,66,15,TRUE
"166655",2,78,7,TRUE
"1667",1,42,7,TRUE
"166793",4,50,15,TRUE
"1668",3,94,7,TRUE
"167465",4,50,15,TRUE
"167555",2,58,7,TRUE
"167681",4,50,15,TRUE
"168002",5,86,15,TRUE
"168417",2,58,7,TRUE
"168448",5,86,15,TRUE
"168667",4,50,15,TRUE
"1690",5,86,15,TRUE
"169200",5,86,15,TRUE
"169355",5,66,15,TRUE
"169611",4,50,15,TRUE
"169714",5,86,15,TRUE
"169834",4,50,15,TRUE
"169981",4,50,15,TRUE
"170370",4,50,15,TRUE
"170371",4,50,15,TRUE
"170575",5,66,15,TRUE
"170692",4,50,15,TRUE
"170954",5,86,15,TRUE
"170958",2,78,7,TRUE
"170960",5,86,15,TRUE
"170961",5,86,15,TRUE
"171425",4,50,15,TRUE
"1719",3,94,7,TRUE
"1728",5,66,15,TRUE
"1742",4,50,15,TRUE
"1750",5,86,15,TRUE
"1760",5,86,15,TRUE
"1762",5,86,15,TRUE
"1763",5,86,15,TRUE
"177",5,86,15,TRUE
"1776",5,66,15,TRUE
