"gene","n_datasets_with_gene","non_imputed_First.trimester","non_imputed_Second.trimester","in_both_groups"
"10047",1,4,4,TRUE
"1005",1,4,4,TRUE
"10050",1,4,4,TRUE
"100505478",1,4,4,TRUE
"100505573",1,4,4,TRUE
"100505741",1,4,4,TRUE
"100505841",1,4,4,TRUE
"100505876",1,4,4,TRUE
"100505989",1,4,4,TRUE
"100506013",1,4,4,TRUE
"100506127",1,4,4,TRUE
"100506243",1,4,4,TRUE
"100506374",1,4,4,TRUE
"100506540",1,4,4,TRUE
"100506581",1,4,4,TRUE
"100506742",1,4,4,TRUE
"100507027",1,4,4,TRUE
"100507043",1,4,4,TRUE
"100507050",1,4,4,TRUE
"100507203",1,4,4,TRUE
"100507290",1,4,4,TRUE
"100507421",1,4,4,TRUE
"100507436",1,4,4,TRUE
"100507537",1,4,4,TRUE
"100507650",1,4,4,TRUE
"100528062",1,4,4,TRUE
"100533106",1,4,4,TRUE
"1006",1,4,4,TRUE
"10060",1,4,4,TRUE
"100652824",1,4,4,TRUE
"1007",1,4,4,TRUE
"10071",1,4,4,TRUE
"10077",1,4,4,TRUE
"1008",1,4,4,TRUE
"10083",1,4,4,TRUE
"10085",1,4,4,TRUE
"10086",1,4,4,TRUE
"100862671",1,4,4,TRUE
"100885848",1,4,4,TRUE
"10089",1,4,4,TRUE
"100996492",1,4,4,TRUE
"101",1,4,4,TRUE
"1010",1,4,4,TRUE
"10100",1,4,4,TRUE
"101059948",1,4,4,TRUE
"101060200",1,4,4,TRUE
"10107",1,4,4,TRUE
"10110",1,4,4,TRUE
"10111",1,4,4,TRUE
"10114",1,4,4,TRUE
"10117",1,4,4,TRUE
"1012",1,4,4,TRUE
"10129",1,4,4,TRUE
"10136",1,4,4,TRUE
"10139",1,4,4,TRUE
"1014",1,4,4,TRUE
"101410538",1,4,4,TRUE
"10142",1,4,4,TRUE
"10143",1,4,4,TRUE
"1015",1,4,4,TRUE
"10152",1,4,4,TRUE
"10154",1,4,4,TRUE
"10158",1,4,4,TRUE
"1016",1,4,4,TRUE
"10164",1,4,4,TRUE
"10170",1,4,4,TRUE
"10178",1,4,4,TRUE
"101927581",1,4,4,TRUE
"101928991",1,4,4,TRUE
"101929726",1,4,4,TRUE
"101929926",1,4,4,TRUE
"10193",1,4,4,TRUE
"10207",1,4,4,TRUE
"10214",1,4,4,TRUE
"10215",1,4,4,TRUE
"10216",1,4,4,TRUE
"10218",1,4,4,TRUE
"10219",1,4,4,TRUE
"10225",1,4,4,TRUE
"10233",1,4,4,TRUE
"10234",1,4,4,TRUE
"10246",1,4,4,TRUE
"10249",1,4,4,TRUE
"10251",1,4,4,TRUE
"10265",1,4,4,TRUE
"10267",1,4,4,TRUE
"102723899",1,4,4,TRUE
"102800317",1,4,4,TRUE
"10291",1,4,4,TRUE
"10293",1,4,4,TRUE
"10297",1,4,4,TRUE
"10308",1,4,4,TRUE
"1031",1,4,4,TRUE
"10316",1,4,4,TRUE
"10317",1,4,4,TRUE
"10321",1,4,4,TRUE
"10324",1,4,4,TRUE
"10326",1,4,4,TRUE
"10335",1,4,4,TRUE
"10336",1,4,4,TRUE
"10343",1,4,4,TRUE
"10345",1,4,4,TRUE
"10361",1,4,4,TRUE
"10368",1,4,4,TRUE
"10369",1,4,4,TRUE
"10385",1,4,4,TRUE
"10391",1,4,4,TRUE
"10394",1,4,4,TRUE
"10396",1,4,4,TRUE
"10406",1,4,4,TRUE
"10407",1,4,4,TRUE
"1041",1,4,4,TRUE
"10417",1,4,4,TRUE
"10426",1,4,4,TRUE
"10439",1,4,4,TRUE
"1044",1,4,4,TRUE
"1045",1,4,4,TRUE
"1046",1,4,4,TRUE
"10462",1,4,4,TRUE
"1047",1,4,4,TRUE
"10472",1,4,4,TRUE
"1048",1,4,4,TRUE
"10481",1,4,4,TRUE
"10499",1,4,4,TRUE
"105",1,4,4,TRUE
"10500",1,4,4,TRUE
"10514",1,4,4,TRUE
"1053",1,4,4,TRUE
"10537",1,4,4,TRUE
"105371267",1,4,4,TRUE
"105371932",1,4,4,TRUE
"105375116",1,4,4,TRUE
"105375355",1,4,4,TRUE
"105376230",1,4,4,TRUE
"105378696",1,4,4,TRUE
"105378952",1,4,4,TRUE
"10562",1,4,4,TRUE
